RT,Stimuli,Response,Condition,Correct,Age,L1,ID,Fold,Time_taken,Sex,Language,Verb,Noun,Frequency,Score,Item,Accuracy,outliers,mAccuracy,mRT,iAccuracy,iRT
1015,stimulate a cell,n,Compositional,y,55,English,P004,1,343.0,Female,English,stimulate,cell,11511,7.4,stimulate cell,0,,0.9573170731707316,851.3780487804878,0.7213114754098361,1297.5245901639344
888,close the gap,y,Idiom,y,55,English,P004,1,343.0,Female,English,close,gap,134164,10.0,close gap,1,,0.9573170731707316,851.3780487804878,1.0,950.3225806451612
874,cultivate the soil,y,Compositional,y,55,English,P004,1,343.0,Female,English,cultivate,soil,3389,6.9,cultivate soil,1,,0.9573170731707316,851.3780487804878,0.9333333333333332,1086.2
1247,drop a line,y,Idiom,y,55,English,P004,1,343.0,Female,English,drop,line,13304,5.9,drop line,1,,0.9573170731707316,851.3780487804878,0.9344262295081968,949.0491803278688
670,bend the rule,y,Collocation,y,55,English,P004,1,343.0,Female,English,bend,rule,14612,7.1,bend rule,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,928.1774193548388
715,catch a fish,y,Compositional,y,55,English,P004,1,343.0,Female,English,catch,fish,111494,9.3,catch fish,1,,0.9573170731707316,851.3780487804878,0.9836065573770492,836.1475409836065
967,unleash hell,y,Idiom,y,55,English,P004,1,343.0,Female,English,unleash,hell,2366,6.8,unleash hell,1,,0.9573170731707316,851.3780487804878,0.967741935483871,928.983870967742
653,taste success,y,Collocation,y,55,English,P004,1,343.0,Female,English,taste,success,4956,5.9,taste success,1,,0.9573170731707316,851.3780487804878,0.9836065573770492,903.016393442623
618,twist an ankle,y,Compositional,y,55,English,P004,1,343.0,Female,English,twist,ankle,5585,9.1,twist ankle,1,,0.9573170731707316,851.3780487804878,0.9838709677419356,926.6612903225806
834,capture one's heart,y,Idiom,y,55,English,P004,1,343.0,Female,English,capture,heart,23582,7.5,capture heart,1,,0.9573170731707316,851.3780487804878,1.0,973.048387096774
